Skill,Sources
Data Strategy,Book: Data Strategy: How to Profit from a World of Big Data; Course: Data Strategy for Business (Coursera); Course: Executive Data Strategy (Udemy); Doc: Gartner Data & Analytics; YouTube: Bernard Marr
Data Synchronization,Book: Distributed Systems: Principles and Paradigms; Course: Data Integration (Coursera); Course: Master Data Management (Udemy); Doc: AWS DataSync Documentation; YouTube: Confluent
Data Visualization (Tableau/Power BI),Book: The Visual Display of Quantitative Information (Tufte); Course: Tableau Desktop Specialist (Udemy); Course: Microsoft Power BI Data Analyst (Coursera); Doc: Tableau / Power BI Documentation; YouTube: SQLBI
Data Warehousing,Book: The Data Warehouse Lifecycle Toolkit; Course: Data Warehousing Specialization (Coursera); Course: Snowflake/Redshift Training (Udemy); Doc: Snowflake Documentation; YouTube: InterWorks
Database Interoperability,Book: Principles of Distributed Database Systems; Course: Data Integration and Interoperability (Coursera); Course: Cross-Database Communication (Udemy); Doc: ODBC/JDBC Specifications; YouTube: Computerphile
Database Management,Book: Database System Concepts; Course: Database Management Systems (Coursera); Course: SQL Masterclass (Udemy); Doc: PostgreSQL Documentation; YouTube: Programming with Mosh
Database Tuning,Book: SQL Performance Explained; Course: MySQL Performance Tuning (Udemy); Course: Database Optimization (Coursera); Doc: Oracle SQL Tuning Guide; YouTube: Erik Darling Data
Decentralized Systems,Book: Distributed Systems (Maarten van Steen); Course: Decentralized Applications (DApps) (Coursera); Course: P2P Networks (Udemy); Doc: IPFS Documentation; YouTube: Finematics
Deep Learning,Book: Deep Learning (Ian Goodfellow); Course: Deep Learning Specialization (Coursera); Course: PyTorch for Deep Learning (Udemy); Doc: TensorFlow / PyTorch Docs; YouTube: 3Blue1Brown
Design Patterns,Book: Design Patterns: Elements of Reusable Object-Oriented Software; Course: Software Design Patterns (Coursera); Course: Design Patterns in Java/Python (Udemy); Doc: Refactoring.Guru; YouTube: Christopher Okhravi
Design for Manufacturing (DfM),Book: Design for Manufacturability Handbook; Course: Product Design and Manufacturing (Coursera); Course: DfM for Mechanical Engineers (Udemy); Doc: Autodesk DfM Guides; YouTube: Efficient Engineer
DevOps Automation,Book: The Phoenix Project; Course: DevOps on AWS (Coursera); Course: CI/CD with Jenkins (Udemy); Doc: Azure DevOps Documentation; YouTube: TechWorld with Nana
Die Design,Book: Die Design Handbook; Course: Sheet Metal Design (Coursera); Course: Tool and Die Design (Udemy); Doc: SME (Society of Manufacturing Engineers) Resources; YouTube: The Engineering ToolBox
Digital Audio Workstations (DAW),Book: The Mixing Engineer's Handbook; Course: Ableton Live Masterclass (Udemy); Course: Pro Tools Foundation (Coursera); Doc: Avid Pro Tools Reference Guide; YouTube: In The Mix
Digital Image Editing,Book: Adobe Photoshop Classroom in a Book; Course: Photoshop Masterclass (Udemy); Course: Graphic Design Foundation (Coursera); Doc: Adobe Photoshop Help; YouTube: Piximperfect
Digital Preservation,Book: The Digital Document; Course: Digital Curation and Preservation (Coursera); Course: Archiving Fundamentals (Udemy); Doc: Library of Congress Sustainability of Digital Formats; YouTube: National Archives
Digital Strategy,Book: Digital Strategy: A Guide to Digital Business Transformation; Course: Digital Competition (Coursera); Course: Strategic Digital Marketing (Udemy); Doc: McKinsey Digital Insights; YouTube: GaryVee
Digital Transformation,Book: Driving Digital Strategy; Course: Digital Transformation Specialization (Coursera); Course: Leading Digital Transformation (Udemy); Doc: MIT Sloan Management Review; YouTube: HBR
Digital Workflows,Book: Automate Your Busywork; Course: Workflow Automation with Zapier (Udemy); Course: Business Process Management (Coursera); Doc: ServiceNow Workflow Documentation; YouTube: Andy O'Neil
Dimensional Modeling,Book: The Data Warehouse Toolkit (Kimball); Course: Data Modeling for BI (Coursera); Course: Dimensional Modeling Basics (Udemy); Doc: Kimball Group Methodology; YouTube: Into Data
Disaster Recovery,Book: Principles of Incident Response and Disaster Recovery; Course: IT Disaster Recovery Planning (Udemy); Course: Business Continuity (Coursera); Doc: AWS Disaster Recovery Whitepaper; YouTube: NetworkChuck
Distribution Infrastructure,Book: Electric Power Distribution Handbook; Course: Power Systems Engineering (Coursera); Course: Distribution Network Design (Udemy); Doc: IEEE Power & Energy Society; YouTube: Practical Engineering
Drag Reduction,Book: Fluid-Dynamic Drag (Hoerner); Course: Aerodynamics (Coursera); Course: CFD for Drag Reduction (Udemy); Doc: NASA Glenn Research Center; YouTube: Real Engineering
Drilling Simulation,Book: Fundamentals of Drilling Engineering; Course: Petroleum Engineering (Coursera); Course: Drilling Fluids and Simulation (Udemy); Doc: Schlumberger Simulation Software Docs; YouTube: Oil and Gas Training
Durability,"Book: Product Reliability, Maintainability, and Supportability; Course: Reliability Engineering (Coursera); Course: Material Durability Analysis (Udemy); Doc: ASTM Testing Standards; YouTube: Engineering Explained"
Durability Testing,Book: Mechanical Testing of Materials; Course: Fatigue and Fracture (edX); Course: Environmental Testing (Udemy); Doc: ISO 16750 Standards; YouTube: Test and Measurement
Dynamic Processing,Book: The Recording Engineer's Handbook; Course: Mixing and Mastering (Coursera); Course: Compression and Dynamics (Udemy); Doc: Universal Audio Guides; YouTube: Recording Revolution
ETL,Book: ETL Toolkit; Course: Data Engineering Foundations (Coursera); Course: Python for ETL (Udemy); Doc: Apache Airflow Documentation; YouTube: Seattle Data Guy
ETL Processes,Book: Data Integration Strategies; Course: ETL and Data Pipelines (IBM/Coursera); Course: Informatica ETL Training (Udemy); Doc: Talend User Guides; YouTube: Data Engineering Academy
Earth Engineering,Book: Geotechnical Engineering: Principles and Practices; Course: Soil Mechanics (Coursera); Course: Earthquake Engineering (Udemy); Doc: USGS Earthquake Hazards Program; YouTube: Practical Engineering
Ecology/Botany Knowledge,Book: Botany for Gardeners; Course: Introduction to Ecology (Coursera); Course: Plant Biology (Udemy); Doc: Royal Botanic Gardens Resources; YouTube: Crime Pays But Botany Doesn't
EdTech Frameworks,Book: Design for How People Learn; Course: Instructional Design Foundations (Coursera); Course: Learning Management Systems (Udemy); Doc: ISTE Standards; YouTube: Devlin Peck
Efficiency Analysis,Book: Efficiency and Productivity Analysis; Course: Operations Research (Coursera); Course: Lean Process Analysis (Udemy); Doc: Six Sigma Guides; YouTube: Lean Enterprise Institute
Electric Motors,Book: Electric Machinery Fundamentals (Chapman); Course: Electric Motors and Drives (Coursera); Course: Motor Control Systems (Udemy); Doc: ABB Motor Selection Guides; YouTube: The Engineering Mindset
Electrical Circuitry,Book: Practical Electronics for Inventors; Course: Electrical Engineering: Circuit Analysis (Coursera); Course: Basic Electronics (Udemy); Doc: All About Circuits; YouTube: EEVblog
Electrical Safety,Book: NFPA 70E: Standard for Electrical Safety in the Workplace; Course: Electrical Safety Training (Udemy); Course: OSHA Electrical Standards (Coursera); Doc: NFPA.org / OSHA.gov; YouTube: Jim Palam
Electrical Transformation,Book: Transformer Engineering; Course: Power Transformers (Udemy); Course: Electric Power Systems (Coursera); Doc: IEEE Transformers Committee; YouTube: The Engineering Mindset
Embedded Systems,Book: Making Embedded Systems (Elicia White); Course: Embedded Software and Hardware (Coursera); Course: Microcontroller Programming (Udemy); Doc: ARM / STM32 Documentation; YouTube: Low Level Learning
Emissions Control,Book: Air Pollution Control Engineering; Course: Automotive Emissions (Coursera); Course: Environmental Engineering (Udemy); Doc: EPA Vehicle Emissions Guides; YouTube: Engineering Explained
Emissions Standards,Book: Internal Combustion Engine Fundamentals; Course: Sustainability and Emissions (Coursera); Course: Global Emissions Standards (Udemy); Doc: Euro 6 / EPA Standards; YouTube: Climate Town
Encryption,Book: Serious Cryptography; Course: Introduction to Applied Cryptography (Coursera); Course: Encryption and Hashing (Udemy); Doc: NIST FIPS Publications; YouTube: Computerphile
Energy Auditing,Book: Handbook of Energy Audits; Course: Energy Auditor Professional (Udemy); Course: Energy Management (Coursera); Doc: DOE Energy Audit Guides; YouTube: Engineering Mindset
Energy Balancing,Book: Principles of Energy Conversion; Course: Renewable Energy Systems (Coursera); Course: Smart Grid Technology (Udemy); Doc: NREL Technical Reports; YouTube: Energy 101
Energy Efficiency,Book: Energy Efficiency: Concepts and Calculations; Course: Sustainability in Energy (Coursera); Course: Home Energy Efficiency (Udemy); Doc: Energy Star Program; YouTube: Matt Risinger
Energy Efficiency Standards,Book: Energy Standards and Codes; Course: LEED Green Associate (Udemy); Course: Sustainable Architecture (Coursera); Doc: ASHRAE 90.1 Standard; YouTube: USGBC
Energy Management,Book: Energy Management Handbook; Course: ISO 5001 Energy Management (Udemy); Course: Global Energy Business (Coursera); Doc: DOE Office of Energy Efficiency; YouTube: Schneider Electric
Energy Modeling,Book: Energy Simulation in Building Design; Course: Building Energy Modeling (edX); Course: EnergyPlus Training (Udemy); Doc: EnergyPlus Documentation; YouTube: OpenStudio
Energy Production (AEP),Book: Renewable Energy: Power for a Sustainable Future; Course: Wind Energy (Coursera); Course: Solar Energy (Udemy); Doc: IEA Renewables Report; YouTube: Real Engineering
Energy Storage,"Book: Energy Storage: Fundamentals, Materials and Applications; Course: Battery Management Systems (Coursera); Course: Energy Storage Systems (Udemy); Doc: NREL Energy Storage Research; YouTube: Engineering Mindset"
Energy Yield Modeling,Book: Solar Engineering of Thermal Processes; Course: Solar Energy Photovoltaic Systems (edX); Course: Wind Energy (Coursera); Doc: PVLib Documentation; YouTube: NREL Learning
Engine Design,Book: Internal Combustion Engine Fundamentals (Heywood); Course: Internal Combustion Engines (Coursera); Course: Engine Design and Simulation (Udemy); Doc: SAE International Technical Papers; YouTube: Engineering Explained
Engine Room Logging,Book: Marine Engineering Log; Course: Marine Engineering Operations (Udemy); Course: Shipboard Safety and Operations (Coursera); Doc: IMO MARPOL Regulations; YouTube: Casual Navigation
Enterprise Application Integration,Book: Enterprise Integration Patterns; Course: Integration Architecture (Coursera); Course: MuleSoft Integration (Udemy); Doc: Azure Integration Services; YouTube: MuleSoft Videos
Enterprise Architecture (TOGAF),"Book: The TOGAF Standard, 10th Edition; Course: TOGAF Foundation (Udemy); Course: Enterprise Architecture Specialization (Coursera); Doc: The Open Group Library; YouTube: Enterprise Architecture Radio"
Entity-Relationship (ER) Modeling,Book: Database Design and Relational Theory; Course: Data Modeling and Database Design (Coursera); Course: SQL and ER Modeling (Udemy); Doc: Lucidchart ERD Guide; YouTube: Dr. Daniel Soper
Environmental Compliance,Book: Environmental Compliance Handbook; Course: Environmental Management (Coursera); Course: OSHA/EPA Compliance (Udemy); Doc: EPA.gov Compliance Assistance; YouTube: Environmental Law Institute
Environmental Impact Assessment,Book: Environmental Impact Assessment: A Practical Guide; Course: Sustainable Development (Coursera); Course: EIA Methodology (Udemy); Doc: World Bank EIA Guidelines; YouTube: United Nations Environment Programme
Equalization,Book: The EQ and Compression Formula; Course: Audio Production Foundation (Coursera); Course: Mixing and Equalization (Udemy); Doc: Universal Audio Blog; YouTube: In The Mix
Equipment Calibration,Book: The Calibration Handbook of Measuring Instruments; Course: Instrumentation and Control (Coursera); Course: Metrology and Calibration (Udemy); Doc: NIST Calibration Services; YouTube: Beamex
Experimental Design,Book: Design and Analysis of Experiments (Montgomery); Course: Design of Experiments (Coursera); Course: Statistical Design (Udemy); Doc: NIST/SEMATECH e-Handbook of Statistical Methods; YouTube: JMP Software
FMEA,Book: Failure Mode and Effects Analysis (FMEA); Course: Quality Engineering (Coursera); Course: FMEA Practitioner (Udemy); Doc: ASQ (American Society for Quality); YouTube: Six Sigma Academy
Fabric Testing,Book: Fabric Testing (Jinlian Hu); Course: Textile Engineering (Coursera); Course: Apparel Quality Management (Udemy); Doc: ASTM International Textile Standards; YouTube: Textile School
Factory Layout,Book: Manufacturing Facilities Design and Material Handling; Course: Operations Management (Coursera); Course: Lean Factory Design (Udemy); Doc: Autodesk Factory Design Utilities; YouTube: Lean Enterprise Institute
Farm Tech,Book: Precision Agriculture for Sustainability; Course: Agricultural Technology (Coursera); Course: Digital Farming (Udemy); Doc: USDA Agricultural Research Service; YouTube: Future Farming
Fashion Software,Book: Digital Fashion Design; Course: CLO 3D for Beginners (Udemy); Course: Adobe Illustrator for Fashion (Coursera); Doc: CLO 3D Official Manual; YouTube: 3D Fashion Design
Feasibility Studies,Book: Feasibility Studies for Hotels and Hospitality; Course: Financial Planning (Coursera); Course: Project Feasibility Analysis (Udemy); Doc: Investopedia - Feasibility Study; YouTube: ProjectManager
Fermentation,Book: The Art of Fermentation; Course: Brewing and Fermentation (Coursera); Course: Food Science and Fermentation (Udemy); Doc: Noma Guide to Fermentation; YouTube: Bon Appétit - It's Alive
Fiber Optics,Book: Fiber Optics Installer's Guide; Course: Fiber Optic Communication (Coursera); Course: Fiber Optic Splicing (Udemy); Doc: The FOA (Fiber Optic Association); YouTube: Fiber Optic Association Channel
Fiber-Optics,Book: Optical Fiber Communications (Keiser); Course: Photonics (edX); Course: Fiber Optic Technician (Udemy); Doc: IEEE Photonics Society; YouTube: Engineering Mindset
Film Processing,Book: The Darkroom Cookbook; Course: Film Photography (Udemy); Course: Analog Film Processing (Coursera); Doc: Kodak Film Processing Manuals; YouTube: The Art of Photography
Financial Modeling,Book: Investment Valuation (Damodaran); Course: Financial Modeling & Valuation (Udemy); Course: Excel Skills for Business (Coursera); Doc: Investopedia - Financial Modeling; YouTube: Aswath Damodaran
Finite Element Analysis (FEA),Book: A First Course in the Finite Element Method; Course: Finite Element Analysis (Coursera); Course: ANSYS FEA (Udemy); Doc: ANSYS Help; YouTube: The Efficient Engineer
Finite Element Method (FEM),Book: The Finite Element Method (Zienkiewicz); Course: Practical FEM (Udemy); Course: Structural Mechanics (Coursera); Doc: SimScale Documentation; YouTube: Steve Brunton
Firewall Configuration,Book: The Firewall Guide; Course: Network Security with Cisco ASA (Udemy); Course: Palo Alto Firewall Configuration (Coursera); Doc: Cisco Security Docs; YouTube: NetworkChuck
Firewall Management,Book: Network Security Bible; Course: CompTIA Security+ (Udemy); Course: Cloud Firewall Management (Coursera); Doc: Palo Alto Networks Documentation; YouTube: Simply Cyber
Firmware Debugging,Book: Debugging: The 9 Indispensable Rules; Course: Embedded Systems Debugging (Udemy); Course: Microcontroller Systems (Coursera); Doc: ARM Cortex Debugging Guide; YouTube: Low Level Learning
Firmware Protection,Book: Real-World Embedded Security; Course: Cybersecurity in Embedded Systems (Udemy); Course: Software Security (Coursera); Doc: NIST Guide to Firmware Security; YouTube: Black Hat
Fishery Equipment,Book: Fishery Science: Methods and Applications; Course: Marine Biology and Fisheries (Coursera); Course: Commercial Fishing Equipment (Udemy); Doc: FAO Fishery Technology; YouTube: Marine Bio
Flight Dynamics,Book: Flight Dynamics Principles (Cook); Course: Aircraft Performance (Coursera); Course: Flight Mechanics (edX); Doc: NASA Glenn Research Center; YouTube: Scott Manley
Flight Mechanics,Book: Fundamentals of Flight (Anderson); Course: Aerospace Engineering (MIT OCW); Course: Aircraft Stability and Control (Udemy); Doc: FAA Pilot's Handbook; YouTube: Mentour Pilot
Fluid Mechanics,Book: Fluid Mechanics (Munson); Course: Fluid Mechanics (Coursera); Course: Hydrodynamics (edX); Doc: Engineering Toolbox; YouTube: The Engineering Mindset
Flutter,Book: Flutter in Action; Course: The Complete Flutter Development Bootcamp (Udemy); Course: Flutter & Dart (Coursera); Doc: Flutter.dev Docs; YouTube: Flutter Official
Food Chemistry,Book: Fennema's Food Chemistry; Course: Food Science Specialization (Coursera); Course: Introduction to Food Chemistry (Udemy); Doc: FDA Food Ingredients; YouTube: ACS Reactions
Food Safety,Book: Food Safety Management; Course: HACCP Plan and Implementation (Udemy); Course: Food Safety and Quality (Coursera); Doc: WHO Food Safety Standards; YouTube: Centers for Disease Control (CDC)
Fuel Management,Book: Internal Combustion Engine Fundamentals; Course: Fuel Systems and Control (Coursera); Course: Automotive Engineering (Udemy); Doc: EPA Fuel Economy Standards; YouTube: Engineering Explained
Fuel Tech,Book: Renewable Fuel Technologies; Course: Bioenergy and Biofuels (Coursera); Course: Alternative Fuels (Udemy); Doc: DOE Alternative Fuels Data Center; YouTube: Real Engineering
G-code,Book: CNC Programming Handbook; Course: G-Code Masterclass (Udemy); Course: CNC Machining (Coursera); Doc: Fanuc Programming Manual; YouTube: Titans of CNC
GDPR Knowledge,Book: GDPR: A Practical Guide; Course: GDPR Compliance (Coursera); Course: Data Privacy Professional (Udemy); Doc: GDPR.eu; YouTube: Privacy Kitchen
GIS,Book: Getting to Know ArcGIS; Course: GIS Specialization (Coursera); Course: ArcGIS Online (Udemy); Doc: Esri Documentation; YouTube: GIS Geography
GIS Mapping,Book: The ArcGIS Book; Course: QGIS for Beginners (Udemy); Course: Maps and Geospatial Revolution (Coursera); Doc: QGIS Documentation; YouTube: Hans van der Kwast
Game Design,Book: The Art of Game Design (Schell); Course: Game Design Specialization (Coursera); Course: Complete Game Design Course (Udemy); Doc: Gamasutra Articles; YouTube: Game Maker's Toolkit
Game Engines (Unity/Unreal),Book: Game Engine Architecture; Course: Unity Game Development (Udemy); Course: Unreal Engine 5 C++ (Coursera); Doc: Unity / Unreal Docs; YouTube: Brackeys
Gas Refining,Book: Petroleum Refining: Technology and Economics; Course: Oil and Gas Engineering (Coursera); Course: Natural Gas Processing (Udemy); Doc: API (American Petroleum Institute); YouTube: Energy 101
Generator Synchronization,Book: Electrical Machinery; Course: Power System Operations (Udemy); Course: Electric Power Systems (Coursera); Doc: IEEE Power & Energy Society; YouTube: Practical Engineering
Geometric Dimensioning,Book: GD&T: Basic Fundamentals; Course: GD&T for Beginners (Udemy); Course: Mechanical Engineering Design (Coursera); Doc: ASME Y14.5 Standard; YouTube: The GD&T Hierarchy
Geotechnical Analysis,Book: Geotechnical Engineering (Holtz); Course: Soil Mechanics (Coursera); Course: Geotechnical Foundation Design (Udemy); Doc: USACE Geotechnical Engineering; YouTube: Practical Engineering
Good Manufacturing Practices (GMP),Book: GMP for Pharmaceutical Engineers; Course: GMP Compliance (Udemy); Course: Quality Management (Coursera); Doc: FDA.gov GMP Guidelines; YouTube: Compliance Online
Green Engineering,"Book: Sustainable Engineering: Concepts, Design, and Case Studies; Course: Sustainable Development (Coursera); Course: Green Building and LEED (Udemy); Doc: USGBC LEED Standards; YouTube: USGBC"
Green Technology,Book: The Clean Tech Revolution; Course: Renewable Energy Specialization (Coursera); Course: Green Energy Systems (Udemy); Doc: IEA Clean Energy Reports; YouTube: Real Engineering
Grid Connection,Book: Electric Power Systems: A Conceptual Introduction; Course: Smart Grid Technology (Coursera); Course: Grid Connection of Renewables (Udemy); Doc: NREL Grid Modernization; YouTube: Practical Engineering
Grid Infrastructure,Book: Power System Analysis and Design; Course: Electric Power Systems (Coursera); Course: Grid Infrastructure Management (Udemy); Doc: Department of Energy (DOE) Grid; YouTube: Energy 101
Grid Integration,Book: Integration of Distributed Generation in the Power System; Course: Grid Integration of Wind (Coursera); Course: Renewable Energy Integration (Udemy); Doc: NREL Grid Integration; YouTube: Engineering Mindset
Grid Reliability,Book: Reliability of Power Systems; Course: Power Grid Management (Coursera); Course: Grid Stability and Reliability (Udemy); Doc: NERC Reliability Standards; YouTube: Real Engineering
Grid Standards,Book: IEEE Standard for Interconnecting Distributed Resources; Course: Energy Policy and Standards (Coursera); Course: Utility Grid Standards (Udemy); Doc: IEEE 1547 Standard; YouTube: IEEE
HDL (Verilog/VHDL),Book: Digital Design (Verilog); Course: Verilog HDL for FPGA (Udemy); Course: Digital Logic Design (Coursera); Doc: FPGA4Fun; YouTube: Digitally Lit
HTML5,Book: HTML5 and CSS3 for Dummies; Course: HTML5 Specialization (Coursera); Course: The Complete Web Developer (Udemy); Doc: MDN Web Docs; YouTube: Web Dev Simplified
HVAC Diagnostics,Book: Modern Refrigeration and Air Conditioning; Course: HVAC Troubleshooting (Udemy); Course: HVAC Diagnostics (Coursera); Doc: Carrier Technical Manuals; YouTube: HVAC School
HVAC Optimization,Book: HVAC Design Sourcebook; Course: Energy Efficiency in HVAC (Coursera); Course: Advanced HVAC Systems (Udemy); Doc: ASHRAE Technical Resources; YouTube: The Engineering Mindset
HVAC Repair,Book: HVAC Troubleshooting Guide; Course: HVAC Technician Path (Udemy); Course: Residential HVAC (Coursera); Doc: AC Service Tech; YouTube: AC Service Tech LLC
Hardware Maintenance,Book: CompTIA A+ Certification All-in-One; Course: IT Support Professional (Coursera); Course: PC Building and Repair (Udemy); Doc: ifixit.com; YouTube: JayzTwoCents
Hazard Identification,Book: HAZOP and HAZAN; Course: Workplace Safety (Coursera); Course: Hazard Identification & Risk Assessment (Udemy); Doc: OSHA Safety Management; YouTube: Safety First
Heat Transfer,Book: Heat and Mass Transfer (Cengel); Course: Heat Transfer (Coursera); Course: Thermal Management (Udemy); Doc: Engineering Toolbox; YouTube: The Efficient Engineer
High Availability,Book: High Availability Architecture; Course: Cloud Architecture (Coursera); Course: High Availability Systems (Udemy); Doc: AWS Well-Architected Framework; YouTube: NetworkChuck
High-Force Systems,Book: Hydraulic Control Systems; Course: High-Force Hydraulic Systems (Udemy); Course: Mechanical Force and Motion (Coursera); Doc: Parker Hannifin Technical Manuals; YouTube: Practical Engineering
High-Precision Engineering,Book: Precision Machine Design; Course: Metrology and Precision Engineering (Coursera); Course: Advanced Manufacturing (Udemy); Doc: NIST Precision Engineering; YouTube: Titans of CNC
High-Speed Typing,Book: Touch Typing in 10 Hours; Course: Speed Typing Course (Udemy); Tool: typing.com; Tool: Keybr.com; YouTube: Ali Abdaal
High-Tolerance Accuracy,Book: Geometric Dimensioning and Tolerancing; Course: GD&T Masterclass (Udemy); Course: Advanced Machining (Coursera); Doc: ASME Certification; YouTube: The GD&T Hierarchy
High-Tolerance Design,Book: Mechanical Design (Shigley); Course: Precision Mechanical Design (Udemy); Course: Engineering Tolerance Analysis (Coursera); Doc: Autodesk Design Standards; YouTube: Efficient Engineer
High-Voltage Engineering,Book: High Voltage Engineering (Kuffel); Course: Electric Power Systems (Coursera); Course: High Voltage Testing (Udemy); Doc: IEEE Power & Energy Society; YouTube: Engineering Mindset
Home Networking,Book: Home Networking for Dummies; Course: Complete Home Networking (Udemy); Course: Network Basics (Coursera); Doc: Cisco Home Networking; YouTube: The Hook Up
Human Factors,Book: The Design of Everyday Things (Norman); Course: Human Factors and Ergonomics (Coursera); Course: Interaction Design (Udemy); Doc: ISO 9241 Standard; YouTube: Nielsen Norman Group
Human-Centric Design,Book: Don't Make Me Think; Course: UI/UX Design Specialization (Coursera); Course: User-Centered Design (Udemy); Doc: Design Council UK; YouTube: The Futur
Hydraulic Modeling,Book: Applied Hydraulic Transients; Course: Hydraulic Modeling with WaterGEMS (Udemy); Course: Urban Infrastructure (Coursera); Doc: Bentley Systems Manuals; YouTube: Practical Engineering
Hydraulics,Book: Industrial Hydraulics Manual; Course: Introduction to Hydraulics (Coursera); Course: Hydraulic Power Systems (Udemy); Doc: Hydraulics & Pneumatics Magazine; YouTube: Engineering Mindset
Hydraulics/Pneumatics,Book: Fluid Power with Applications; Course: Hydraulics and Pneumatics (Udemy); Course: Mechanical Systems (Coursera); Doc: SMC Pneumatics Documentation; YouTube: RealPars
Hydro-turbines,Book: Hydropower Engineering Handbook; Course: Renewable Energy Systems (Coursera); Course: Hydropower Technology (Udemy); Doc: International Hydropower Association; YouTube: Energy 101
Hydrodynamics,Book: A First Course in Fluid Dynamics; Course: Hydrodynamics and Ocean Engineering (Coursera); Course: Ship Hydrodynamics (Udemy); Doc: NASA Glenn Fluid Dynamics; YouTube: Science Channel
Hydrological Modeling,Book: Applied Hydrology (Chow); Course: Introduction to Hydrology (Coursera); Course: Hydrological Modeling with HEC-HMS (Udemy); Doc: USACE HEC-HMS Manual; YouTube: Hans van der Kwast
Hygienic Design,Book: Hygienic Design of Food Factories; Course: Food Safety and Hygienic Design (Udemy); Course: Sanitary Engineering (Coursera); Doc: EHEDG Guidelines; YouTube: Food Safety Experts
IP Law,Book: Intellectual Property in the New Technological Age; Course: Intellectual Property Law (Coursera); Course: Patent Strategy for Business (Udemy); Doc: WIPO.int; YouTube: Legal Eagle
ISO 13485,Book: ISO 13485:2016 Medical Devices; Course: ISO 13485 Implementation (Udemy); Course: Quality Management for Medical Devices (Coursera); Doc: ISO.org Official Standard; YouTube: Quality Gurus
IT Governance (COBIT),Book: COBIT 2019 Framework; Course: IT Governance Foundation (Udemy); Course: IT Strategic Management (Coursera); Doc: ISACA COBIT Resource; YouTube: Simplilearn
IT Security Awareness,Book: The Art of Deception (Mitnick); Course: Cybersecurity Awareness (Coursera); Course: Security Awareness Training (Udemy); Doc: KnowBe4 Resources; YouTube: Cybersecurity Ventures
IT Strategy,Book: IT Strategy: Issues and Practices; Course: Strategic Management of IT (Coursera); Course: CIO Strategy (Udemy); Doc: Gartner Insights; YouTube: Firm Learning
Image Processing,Book: Digital Image Processing (Gonzalez); Course: Image Processing with OpenCV (Udemy); Course: Computer Vision Specialization (Coursera); Doc: OpenCV Documentation; YouTube: PyImageSearch
Image Quality,Book: Camera Image Quality Benchmarking; Course: Digital Image Processing (Coursera); Course: Photography Mastery (Udemy); Doc: DxOMark Test Lab; YouTube: Tony & Chelsea Northrup
Incident Response,Book: The Incident Response Handbook; Course: Cybersecurity Incident Response (Coursera); Course: Computer Forensics (Udemy); Doc: SANS Incident Response Guides; YouTube: Gerald Auger
Industrial Automation,Book: Industrial Automation: Circuit Design and Components; Course: Robotics and Industrial Automation (Coursera); Course: PLC Masterclass (Udemy); Doc: Siemens Industry Online Support; YouTube: RealPars
Industrial Controls,Book: Electric Motor Control (Stephen Herman); Course: Industrial Control Systems (Udemy); Course: Control Systems (Coursera); Doc: Rockwell Automation Knowledgebase; YouTube: Engineering Mindset
Industrial Hygiene,"Book: The Occupational Environment: Its Evaluation, Control, and Management; Course: Industrial Hygiene (Udemy); Course: Health and Safety at Work (Coursera); Doc: AIHA (American Industrial Hygiene Association); YouTube: OSHA"
Industry 4.0,Book: The Fourth Industrial Revolution (Klaus Schwab); Course: Industry 4.0 Specialization (Coursera); Course: Smart Manufacturing (Udemy); Doc: McKinsey Industry 4.0 Insights; YouTube: Bernard Marr
Industry Standards,Book: The Standard for Program Management; Course: Quality Standards (Coursera); Course: ISO/IEEE Standards (Udemy); Doc: ANSI.org; YouTube: ISO Channel
Information Confidentiality,Book: Information Security: Principles and Practice; Course: Information Privacy (Coursera); Course: Data Confidentiality (Udemy); Doc: IAPP Privacy Standards; YouTube: Privacy Kitchen
Information Retrieval,Book: Introduction to Information Retrieval; Course: Natural Language Processing (Coursera); Course: Search Engine Optimization (Udemy); Doc: Elasticsearch Documentation; YouTube: Stanford NLP
Infrastructure Design,Book: Sustainable Infrastructure: The Guide to Green Engineering; Course: Civil Engineering Infrastructure (Coursera); Course: Infrastructure Design with AutoCAD (Udemy); Doc: Infrastructure Australia Guides; YouTube: Practical Engineering
Infrastructure Maintenance,Book: Infrastructure Maintenance and Repair; Course: Asset Management (Coursera); Course: Preventative Maintenance (Udemy); Doc: ISO 55000 Maintenance; YouTube: Reliability Web
Infrastructure Resilience,Book: Resilient Infrastructure; Course: Disaster Management (Coursera); Course: Resilient Systems Design (Udemy); Doc: National Infrastructure Commission; YouTube: World Bank
Infrastructure Support,Book: The Practice of Cloud System Administration; Course: Google IT Support Professional (Coursera); Course: IT Infrastructure Management (Udemy); Doc: Microsoft Learn Infrastructure; YouTube: NetworkChuck
Infrastructure as Code,Book: Infrastructure as Code (Kief Morris); Course: Terraform on AWS (Udemy); Course: IaC with Ansible and Terraform (Coursera); Doc: HashiCorp Terraform Documentation; YouTube: TechWorld with Nana
Injection Molding,Book: Injection Molding Handbook; Course: Injection Molding Technology (Udemy); Course: Plastics Engineering (edX); Doc: Society of Plastics Engineers (SPE); YouTube: The Efficient Engineer
Innovation Analysis,Book: The Innovator's Dilemma; Course: Innovation Management (Coursera); Course: Strategic Innovation (edX); Doc: WIPO Global Innovation Index; YouTube: Harvard Business Review
